"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"488";"20150";"A007403";" 1927750";"   89950";"    46.5";"   24630";"    22.0";"   21330";"    19.0";"   10270";"    10.0";"   21560";"    6980";"    17.5";"   16390";"    20.0";"    76.0";"   13620";"     7.0"
"489";"20150";"A007404";" 1967500";"  141540";"    72.0";"   33700";"    19.5";"   30390";"    17.5";"   13970";"     9.0";"   37580";"    9550";"    14.0";"   26520";"    21.5";"    70.5";"    8230";"     4.0"
"490";"90100";"NL01   ";"11242960";"  464500";"    41.5";"  141730";"    24.0";"  119950";"    20.5";"   60120";"    10.0";"  173940";"   47280";"    16.5";"  128970";"    28.0";"    74.0";"   91450";"     8.0"
"491";"90100";"LD01   ";" 1114060";"   55270";"    49.5";"   18250";"    25.5";"   14700";"    20.5";"    7920";"    11.0";"   24340";"    6520";"    17.5";"   19370";"    35.0";"    79.5";"   13860";"    12.5"
"492";"90100";"LD02   ";" 2353010";"   88060";"    37.5";"   28040";"    25.0";"   22200";"    20.0";"   11680";"    10.5";"   34950";"    9490";"    17.0";"   26540";"    30.0";"    76.0";"   20780";"     9.0"
"493";"90100";"LD03   ";" 5399990";"  237230";"    44.0";"   68000";"    23.0";"   56640";"    19.0";"   29190";"    10.0";"   84020";"   22770";"    16.0";"   61730";"    26.0";"    73.5";"   29240";"     5.5"
"494";"90100";"LD04   ";" 2375910";"   83650";"    35.0";"   25730";"    24.0";"   21530";"    20.0";"   11180";"    10.5";"   28690";"    8390";"    17.5";"   21280";"    25.5";"    74.0";"   27370";"    11.5"
"495";"90100";"PV20   ";"  393030";"   22440";"    57.0";"    7210";"    25.0";"    5890";"    20.5";"    3140";"    11.0";"   10030";"    2460";"    16.5";"    8160";"    36.5";"    81.5";"    5570";"    14.0"
"496";"90100";"PV21   ";"  412230";"   20340";"    49.5";"    6510";"    25.0";"    5230";"    20.0";"    2780";"    10.5";"    7260";"    2030";"    18.5";"    5680";"    28.0";"    78.5";"    4220";"    10.5"
"497";"90100";"PV22   ";"  308800";"   12490";"    40.5";"    4530";"    27.0";"    3580";"    21.5";"    2010";"    12.0";"    7050";"    2030";"    18.0";"    5530";"    44.5";"    78.5";"    4070";"    13.0"
"498";"90100";"PV23   ";"  743170";"   29450";"    39.5";"    9080";"    24.0";"    7550";"    20.0";"    4000";"    10.5";"   12390";"    3300";"    18.0";"    9660";"    33.0";"    78.0";"    7500";"    10.0"
"499";"90100";"PV24   ";"  278230";"   11130";"    40.0";"    3840";"    26.5";"    3090";"    21.0";"    1640";"    11.0";"    4800";"    1410";"    18.5";"    3640";"    32.5";"    76.0";"    1240";"     4.5"
"500";"90100";"PV25   ";" 1331610";"   47480";"    35.5";"   15120";"    25.5";"   11560";"    19.5";"    6040";"    10.0";"   17760";"    4780";"    16.5";"   13240";"    28.0";"    74.5";"   12030";"     9.0"
