"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"1173","90200","GM0917 ","   18540","     390","    21.0","      40","    10.5","      90","    21.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1174","90200","GM1658 ","    3550","      10","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1175","90200","GM0399 ","    5920","      20","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1176","90200","GM0400 ","   11640","     150","    12.5","      20","    14.5","      40","    22.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1177","90200","GM0163 ","    7250","      40","     5.5","      10","    12.0","      10","    26.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1178","90200","GM0530 ","    7460","      80","    10.0","      10","    13.0","      20","    19.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1179","90200","GM0794 ","   14510","     320","    22.0","      40","    11.5","      70","    20.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1180","90200","GM0531 ","    4810","      40","     7.5","      10","    16.5","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1181","90200","GM0164 ","   15050","     390","    26.0","      30","     8.5","      40","     9.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1182","90200","GM0796 ","   25450","     490","    19.0","      60","    11.0","     110","    20.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1183","90200","GM0252 ","    3650","      20","     4.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
