"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instromers_4","Instromers_5","Uitstromers_6","Uitstromers_7","UitstromersNaarWerk_8","UitstromersNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkendenNaReIntegratie_11","WerkendenNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"406","20150","GM0866","   14110","     230","    16.5","      60","    23.0","      40","    16.0","      20","     6.5","      50","      10","     7.5","      50","    22.0","    90.0","      60","     4.5"
"407","20150","GM0867","   39610","     900","    23.0","     300","    26.0","     270","    23.0","     120","    11.5","     200","      80","    22.0","     130","    15.5","    62.0","     280","     7.0"
"408","20150","GM0627","   21610","     390","    18.0","     170","    32.5","     140","    26.0","      60","    12.5","     130","      20","    19.5","      70","    20.0","    53.0","     120","     5.5"
"409","20150","GM0289","   33060","     760","    23.0","     280","    27.5","     250","    24.5","     120","    12.5","     450","     150","    27.5","     330","    46.5","    72.5","     180","     5.5"
"410","20150","GM0629","   21400","     450","    21.0","     130","    24.5","      90","    17.0","      40","     8.5","     350","      60","    14.5","     270","    64.0","    77.5","      60","     2.5"
"411","20150","GM0852","   14480","     160","    11.5","      50","    23.0","      60","    27.0","      30","    16.5","      40","      10","    17.0","      30","    22.5","    85.0","      30","     2.0"
"412","20150","GM0988","   41950","    1170","    28.0","     320","    22.0","     290","    19.5","     130","     9.5","    1140","     180","    14.0","     950","    88.5","    83.0","     450","    11.0"
"413","20150","GM0457","   15540","     490","    31.5","     160","    27.5","      90","    15.5","      40","     7.0","     220","      20","     5.0","     190","    46.5","    90.0","      40","     3.0"
"414","20150","GM0870","   21730","     310","    14.0","     110","    31.5","      60","    17.0","      30","    10.0","     130","      30","    18.5","     110","    37.0","    83.5","      90","     4.0"
"415","20150","GM0668","   15820","     280","    17.5","     110","    32.5","      80","    22.5","      40","    11.5","     140","      20","    17.5","     100","    37.5","    71.0","      70","     4.5"
"416","20150","GM1701","   16200","     290","    18.0","     130","    30.0","     100","    24.5","      60","    13.5","     310","      50","    14.5","     220","    79.0","    71.0","     140","     9.0"
"417","20150","GM0293","   12690","     480","    37.5","     160","    26.0","     120","    20.0","      60","    10.5","      90","      30","    19.5","      70","    14.5","    76.5","     120","     9.5"
"418","20150","GM1783","   87390","    1430","    16.5","     460","    26.0","     380","    21.5","     170","    10.5","     450","     160","    29.5","     380","    28.5","    83.5","     350","     4.0"
"419","20150","GM0098","   21450","     550","    25.5","     200","    27.0","     160","    21.5","      90","    12.0","     460","     120","    23.0","     380","    72.5","    83.0","     210","    10.0"
"420","20150","GM0614","   12250","     130","    10.5","      50","    26.5","      50","    28.0","      20","    12.0","      40","      20","    32.5","      30","    24.0","    68.0","      20","     2.0"
"421","20150","GM0189","   19590","     260","    13.0","     100","    28.0","      90","    25.5","      50","    15.5","      90","      40","    31.5","      60","    25.0","    70.0","     110","     5.5"
"422","20150","GM0296","   33930","     790","    23.5","     240","    24.0","     200","    20.0","     100","    10.5","      70","      10","     3.5","      50","     6.5","    66.0","     260","     7.5"
"423","20150","GM1696","   19590","     250","    12.5","      90","    28.0","      90","    27.5","      40","    12.5","      40","      20","    12.5","      30","    13.0","    83.0","      30","     1.5"
"424","20150","GM0352","   19430","     320","    16.5","     100","    25.5","     100","    24.0","      50","    12.0","      70","      30","    30.0","      50","    16.5","    64.5","      70","     3.5"
"425","20150","GM0053","   11190","     280","    25.5","     110","    27.5","     100","    25.5","      70","    17.5","     280","      80","    22.5","     240","    85.0","    84.5","      90","     7.5"
"426","20150","GM0294","   24340","     730","    30.0","     310","    30.0","     230","    22.5","     120","    12.5","     740","     140","    18.0","     570","    84.5","    76.5","     330","    13.5"
"427","20150","GM0873","   18520","     310","    16.5","      90","    22.5","      80","    21.0","      40","    11.0","      90","      30","    22.5","      70","    25.0","    79.0","     110","     6.0"
"428","20150","GM0632","   41500","     590","    14.0","     190","    24.0","     220","    27.5","     110","    14.5","     240","      90","    23.5","     200","    38.5","    83.0","     280","     7.0"
"429","20150","GM1690","   19980","     250","    12.5","      80","    26.0","      70","    22.0","      40","    12.0","     240","      50","    18.5","     190","    80.5","    79.5","     120","     6.0"
"430","20150","GM0880","   13330","     240","    18.0","      70","    21.0","      80","    24.5","      40","    13.0","      40","      10","    20.5","      30","    14.5","    78.0","      20","     1.5"
"431","20150","GM0351","    9990","     140","    14.5","      50","    34.0","      20","    15.5","      10","     5.0","      40","       0","       .","      40","    27.5","    83.5","      20","     2.5"
"432","20150","GM0874","   11960","     160","    13.0","      60","    34.0","      40","    20.5","      10","     6.0","      80","      10","     9.5","      70","    44.0","    85.0","      50","     4.5"
"433","20150","GM0479","  126480","    4770","    37.5","    1490","    24.5","    1290","    21.5","     550","    10.0","     980","     450","    23.5","     700","    16.0","    71.5","     480","     4.0"
"434","20150","GM0297","   22120","     380","    17.5","     150","    29.0","     110","    22.0","      50","    10.5","     190","      70","    29.0","     160","    46.0","    82.0","     160","     7.5"
"435","20150","GM0473","   14560","     420","    28.5","     100","    19.0","     130","    23.0","      60","    11.0","      30","       0","       .","      20","     4.5","    56.5","      30","     2.0"
"436","20150","GM0707","   11210","      90","     8.5","      40","    29.5","      30","    25.5","      20","    15.0","      70","      20","    21.5","      60","    63.0","    82.0","      30","     3.0"
"437","20150","GM0478","    5340","      70","    13.0","      30","    30.5","      20","    20.0","      10","     7.0","      20","      10","    28.0","      20","    25.0","     0.0","      10","     2.0"
"438","20150","GM0050","   17690","     300","    17.0","     110","    26.5","     120","    29.0","      70","    16.5","     100","      40","    19.0","      90","    30.0","    81.5","      20","     1.0"
"439","20150","GM0355","   51210","    1620","    31.5","     560","    27.0","     440","    21.5","     170","     9.0","     330","     160","    27.0","     240","    16.5","    73.0","     230","     4.5"
"440","20150","GM0299","   27340","     730","    27.0","     220","    23.5","     190","    20.5","      90","    11.0","     150","      40","    17.5","     120","    18.0","    83.5","     170","     6.5"
"441","20150","GM0637","  102900","    3850","    37.5","    1390","    27.0","    1280","    25.0","     660","    14.5","    1310","     520","    19.5","     880","    26.5","    67.5","     370","     3.5"
"442","20150","GM0638","    6920","      70","     9.5","      30","    28.0","      30","    28.0","      10","    12.0","      30","      10","    36.0","      20","    30.5","    73.0","      30","     4.5"
"443","20150","GM0056","   15090","     230","    15.0","      80","    26.5","      80","    24.5","      40","    13.5","     120","      30","    18.0","      90","    42.0","    74.0","      80","     5.5"
"444","20150","GM1892","   33620","     600","    18.0","     190","    24.5","     160","    21.0","      70","     9.5","     260","      80","    17.5","     210","    39.0","    82.5","      90","     3.0"
"445","20150","GM0879","   18560","     230","    12.5","     110","    36.0","      60","    21.0","      20","     8.5","     120","      10","    13.0","      80","    37.5","    72.5","     100","     5.5"
"446","20150","GM0301","   39200","    1720","    44.0","     540","    25.0","     400","    18.5","     180","     9.0","     670","     210","    20.5","     470","    28.5","    70.5","     500","    12.5"
"447","20150","GM1896","   17480","     220","    12.5","     110","    36.0","      90","    28.0","      50","    17.0","     150","      50","    32.0","     110","    51.0","    70.5","      60","     3.5"
"448","20150","GM0642","   37290","    1290","    34.5","     380","    24.0","     330","    21.0","     160","    11.0","     160","      70","    28.5","     130","    11.0","    78.5","     180","     5.0"
"449","20150","GM0193","  101800","    3820","    37.5","    1140","    24.0","    1000","    21.0","     480","    10.5","     850","     470","    24.5","     600","    17.0","    70.5","     650","     6.5"
"450","20150","AM01  ","  628740","   26500","    42.0","    9270","    26.5","    8280","    23.5","    4160","    12.0","   10980","    2900","    18.0","    8870","    35.0","    80.5","    7010","    11.0"
"451","20150","AM02  ","  537510","   20230","    37.5","    6780","    26.0","    5830","    22.0","    2830","    11.0","    6980","    1920","    18.0","    5610","    29.0","    80.5","    4390","     8.0"
"452","20150","AM03  ","  236140","    7990","    34.0","    2660","    25.0","    2430","    23.0","    1170","    11.5","    4660","    1230","    20.5","    3680","    48.0","    79.0","    2680","    11.5"
"453","20150","AM04  ","  413330","    9580","    23.0","    3350","    27.0","    2910","    23.5","    1430","    12.0","    4650","    1510","    23.0","    3620","    40.0","    78.0","    3120","     7.5"
"454","20150","AM05  ","  519880","   19730","    38.0","    6040","    24.0","    5380","    21.5","    2490","    11.0","    6370","    1440","    14.0","    5200","    29.5","    81.5","    4560","     9.0"
"455","20150","AM06  ","  500520","   13450","    27.0","    4710","    27.0","    3870","    22.0","    1760","    10.5","    8700","    1990","    18.0","    6940","    55.0","    80.0","    3900","     8.0"
"456","20150","AM07  ","  350190","   14020","    40.0","    4030","    23.0","    3560","    20.5","    1520","     9.5","    3350","    1040","    19.5","    2490","    19.5","    74.5","    2870","     8.0"
"457","20150","AM08  ","  268780","   10810","    40.0","    3270","    24.0","    2730","    20.0","    1270","    10.0","    1310","     280","    11.0","     780","     8.0","    59.5","    2070","     7.5"
"458","20150","AM09  ","  250760","    5220","    21.0","    1920","    27.5","    1740","    25.0","     820","    12.5","    3340","     870","    21.0","    2480","    51.0","    74.5","    2460","    10.0"
"459","20150","AM10  ","  186200","    4250","    23.0","    1430","    26.0","    1140","    21.0","     540","    10.5","    1990","     490","    20.5","    1590","    41.0","    79.5","    1270","     7.0"
"460","20150","AM11  ","  306450","   11650","    38.0","    4170","    27.0","    3590","    23.0","    1700","    12.0","    4260","    1330","    20.0","    3370","    32.0","    79.0","    1280","     4.0"
"461","20150","AM12  ","  212930","    5270","    24.5","    1590","    24.5","    1270","    19.5","     550","     9.5","    1810","     410","    17.0","    1520","    32.0","    83.5","     680","     3.0"
"462","20150","AM13  ","  698500","   20750","    29.5","    6830","    25.5","    5780","    21.5","    2390","    10.0","    4520","    1600","    20.0","    3660","    19.5","    81.0","    2360","     3.5"
"463","20150","AM14  ","  266040","    6310","    23.5","    1950","    24.5","    1650","    20.5","     710","    10.0","    2600","     760","    19.5","    2070","    37.0","    80.0","    1390","     5.0"
"464","20150","AM15  ","  541700","   12120","    22.5","    4000","    26.0","    3240","    21.0","    1620","    11.5","    3770","     930","    16.0","    3010","    27.0","    80.0","    2510","     4.5"
"465","20150","AM16  ","  325690","    8870","    27.0","    2750","    24.5","    2370","    21.0","    1060","    10.0","    2560","     570","    17.0","    1820","    22.0","    71.0","    1550","     5.0"
"466","20150","AM17  ","  275870","    7850","    28.5","    2480","    25.0","    2200","    22.0","    1050","    11.5","    2610","     860","    22.5","    2010","    28.0","    77.0","     990","     3.5"
"467","20150","AM18  "," 1018420","   54160","    53.0","   13240","    19.5","   13100","    19.5","    5430","     9.0","   19880","    3730","    16.0","   11920","    25.5","    60.0","    4350","     4.5"
"468","20150","AM19  ","  441840","    9580","    21.5","    3250","    26.5","    2640","    21.5","    1250","    11.0","    2240","    1050","    26.0","    1790","    20.5","    80.0","    2460","     5.5"
"469","20150","AM20  ","  186460","    4230","    22.5","    1430","    26.0","    1230","    22.5","     550","    11.0","    1260","     360","    20.0","     910","    24.5","    72.0","     970","     5.0"
"470","20150","AM21  ","  662790","   38190","    57.5","   11320","    23.5","    9360","    19.5","    3860","     9.0","   11780","    3150","    14.0","    9830","    29.5","    83.5","    3050","     4.5"
"471","20150","AM22  "," 1097770","   64800","    59.0","   17710","    22.0","   15860","    19.5","    6680","     9.0","   14710","    4430","    13.0","   12110","    21.0","    82.5","    5070","     4.5"
"472","20150","AM23  ","  223130","    7900","    35.5","    2470","    24.5","    2140","    21.5","     970","    10.5","    1120","     430","    25.0","     790","    11.0","    70.5","    1330","     6.0"
"473","20150","AM24  ","  320930","    8410","    26.0","    2830","    26.5","    2220","    21.0","    1100","    11.0","    3130","     760","    15.5","    2410","    31.0","    77.0","    2460","     7.5"
"474","20150","AM25  ","  572070","   15280","    26.5","    4950","    25.5","    4130","    21.0","    1780","    10.0","    6080","    1430","    18.0","    4610","    33.0","    76.0","    4510","     8.0"
"475","20150","AM26  ","  386450","   12250","    31.5","    4250","    27.0","    3410","    21.5","    1520","    10.5","    3080","     760","    19.5","    2280","    20.0","    74.0","    2900","     7.5"
"476","20150","AM27  ","  505850","   11210","    22.0","    3910","    26.5","    3300","    22.5","    1590","    12.0","    3910","    1070","    17.0","    3110","    30.5","    79.5","    5650","    11.0"
"477","20150","AM28  ","  430940","   11710","    27.0","    3580","    24.0","    2930","    20.0","    1320","     9.5","    3430","    1050","    16.5","    2910","    27.5","    85.0","    3270","     7.5"
